Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26
2026-05-27 02:05:00,76051.93,76051.93,76000.0,76018.23,13.09291,76038.0595,75980.8468,76046.4047138164,76026.8044693799
2026-05-27 02:06:00,76018.23,76018.23,76018.22,76018.23,0.74162,76039.1705,75982.6514,76042.07014246003,76026.16932349991
2026-05-27 02:07:00,76018.22,76023.66,76018.22,76023.66,1.00007,76040.553,75984.78480000001,76039.23781285078,76025.98344768511
2026-05-27 02:08:00,76023.65,76023.66,76023.65,76023.66,1.16987,76040.7365,75987.3378,76036.84122625836,76025.81134044917
2026-05-27 02:09:00,76023.66,76076.0,76023.66,76066.01,4.14794,76046.541,75990.7056,76041.32872991092,76028.78901893443
2026-05-27 02:10:00,76066.01,76066.01,76057.99,76058.0,3.57759,76049.7505,75993.883,76043.89354069385,76030.95279530965
2026-05-27 02:11:00,76058.0,76058.0,76044.17,76044.18,1.44326,76050.35250000001,75996.7792,76043.93761135633,76031.93258824969
2026-05-27 02:12:00,76044.18,76076.0,76037.74,76072.63,5.46519,76053.0625,76000.5088,76048.35182499382,76034.94721134231
2026-05-27 02:13:00,76073.42,76073.43,76071.4,76071.41,2.86312,76055.57800000001,76003.897,76051.89923653324,76037.64815865029
2026-05-27 02:14:00,76071.41,76076.82,76071.4,76076.82,3.35227,76057.3,76007.6636,76055.7332001435,76040.54977652806
2026-05-27 02:15:00,76076.82,76076.82,76035.53,76035.54,5.66039,76055.577,76010.424,76052.62655396758,76040.17868197043
2026-05-27 02:16:00,76035.54,76035.54,76025.35,76025.35,1.87661,76053.24399999999,76012.9838,76048.43016104949,76039.08026108373
2026-05-27 02:17:00,76025.36,76025.36,76008.72,76008.73,1.51203,76049.77949999999,76014.7982,76042.32244396495,76036.83209359605
2026-05-27 02:18:00,76008.72,76008.73,75941.52,75941.53,18.10046,76042.3715,76014.882,76026.81591412419,76029.7726792556
2026-05-27 02:19:00,75941.52,75956.89,75890.3,75890.87,21.13043,76032.6645,76013.9942,76005.90115810509,76019.48359190334
2026-05-27 02:20:00,75890.87,75890.87,75864.0,75864.0,18.85136,76022.064,76011.572,75984.0702107043,76007.96628879939
